OID_,Shape_Leng,Shape_Area,ET_mean_2001,ET_mean_2005,ET_mean_2010,ET_mean_2015,ET_mean_2020,ET_mean__5,zone,LULC_Code,Litho,aspect,curvature,elevation,rain,Location,centroid_lat,centroid_lon,names_LULC_Code,names_Litho,gw_pot,gwp_class,slope,hillshade,urban_1995,urban_2000,urban_2005,urban_2010,urban_2015,urban_name_1995,urban_name_2000,urban_name_2005,urban_name_2010,urban_name_2015,
0,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Chhutmalpur,30.20315585,77.82734064,0,0,,,,,,,,,,,,,,,
1,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Chhutmalpur,30.20315585,77.83183064,0,0,,,,,,,,,,,,,,,
2,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.83632064,0,0,,,,,,,,,,,,,,,
3,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.84081064,0,0,,,,,,,,,,,,,,,
4,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.84530064,0,0,,,,,,,,,,,,,,,
5,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.84979064,0,0,,,,,,,,,,,,,,,
6,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.85428064,0,0,,,,,,,,,,,,,,,
7,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.85877064,0,0,,,,,,,,,,,,,,,
8,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.86326064,0,0,,,,,,,,,,,,,,,
9,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.86775064,0,0,,,,,,,,,,,,,,,
10,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.87224064,0,0,,,,,,,,,,,,,,,
11,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.87673064,0,0,,,,,,,,,,,,,,,
12,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.88122064,0,0,,,,,,,,,,,,,,,
13,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.88571064,0,0,,,,,,,,,,,,,,,
14,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.89020064,0,0,,,,,,,,,,,,,,,
15,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.89469064,0,0,,,,,,,,,,,,,,,
16,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.89918064,0,0,,,,,,,,,,,,,,,
17,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.90367064,0,0,,,,,,,,,,,,,,,
18,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.90816064,0,0,,,,,,,,,,,,,,,
19,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.91265064,0,0,,,,,,,,,,,,,,,
20,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.91714064,0,0,,,,,,,,,,,,,,,
21,0.01796,2.02E-05,0,0,0,0,0,0,NA,0,0,0,0,0,0,Clement Town,30.20315585,77.92163064,0,0,,,,,,,,,,,,,,,
